timestamp,signal_dBm,SSID,BSSID,frequency,bitrate
2025-10-03T21:54:01.729848,-45,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:02.758759,-44,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:03.779839,-44,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:04.780748,-44,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:05.835731,-45,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:06.815604,-44,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:07.835491,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:08.742411,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:09.762191,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:10.737537,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:11.759991,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:12.734582,-44,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:13.765248,-44,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:14.758577,-45,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:15.736191,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:16.731229,-45,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:17.733885,-45,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:18.758224,-45,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:19.793529,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:20.829815,-45,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:21.880953,-41,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:22.747287,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:23.755656,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:24.714038,-45,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:25.722116,-44,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:26.729260,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:27.757219,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:28.730939,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:29.749472,-44,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:30.788039,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:31.786019,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:32.854853,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:33.838209,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:34.791870,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:35.732506,-44,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:36.788055,-44,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:54:37.722178,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
